2025-09-23 09:29:04|BDSX|Schuler Jack W|P|7.04|142045
2025-09-22 20:31:08|NTSK|Iconiq Strategic Partners Vi, L.P.|P|19|2000000
2025-09-22 20:29:11|NTSK|Iconiq Strategic Partners Vi, L.P.|P|19|2000000
2025-09-22 20:21:31|CRWV|Magnetar Financial LLC|S|125.6|-197336
2025-09-22 20:19:53|CRWV|Magnetar Financial LLC|S|125.6|-1151054
2025-09-22 20:18:13|CRWV|Magnetar Financial LLC|S|125.6|-1451063
2025-09-22 20:10:32|NTSK|Griffith William J.G.|P|19|2000000
2025-09-22 20:06:22|WULF|Motz Catherine J.|S|11.04|-52942
2025-09-22 19:17:22|RKLB|Spice Adam C.|S|48.01|-874588
2025-09-22 19:13:20|SERV|Abraham Euan|S|14.99|-25000
2025-09-22 18:46:05|CSCO|Tuszik Oliver|S|67.95|-17526
2025-09-22 18:32:16|VREX|Aranki Karen L|S|12.34|-3174
2025-09-22 18:11:52|HQY|Ladd Delano|S|94.11|-6000
2025-09-22 17:57:52|SFIX|Bacos Anthony|S|5.61|-90000
2025-09-22 17:27:05|RYM|Kovler Benjamin|P|39.99|1000
2025-09-22 17:25:21|AQST|Barber Daniel|S|6|-400
2025-09-22 17:20:24|TEAM|Cannon-Brookes Michael|S|169.32|-7665
2025-09-22 17:20:01|TEAM|Farquhar Scott|S|169.32|-7665
2025-09-22 17:14:59|ANIP|Davis Krista|S|98.04|-1000
2025-09-22 17:10:55|ONEW|Singleton Philip Austin Jr.|P|15.37|3654
2025-09-22 17:05:07|IPGP|Ip Fibre Devices Ltd|S|81.82|-64167
2025-09-22 17:00:51|TRIP|Kalvert Seth J|S|20.04|-10880
2025-09-22 16:52:12|QUIK|Faith Brian C|S|5.8|-14956
2025-09-22 16:51:38|QUIK|Saxe Timothy|S|5.8|-9155
2025-09-22 16:50:42|QUIK|Nader Elias|S|5.8|-7325
2025-09-22 16:49:08|CRM|Benioff Marc|S|245.69|-2250
2025-09-22 16:47:14|WMT|McLay Kathryn J.|S|103.83|-4000
2025-09-22 16:44:21|UWMC|Mat Ishbia|S|6.34|-1192712
2025-09-22 16:40:54|OS|Kinzer John|S|20|-30000
